Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.168137290218174,0.37111271971656,0.900957664124744,0,0,0,147.602779533608,3.30913106412552,0.00231508396789663,0.0427132161406999,4.12059766074393,-0.0411704248806174,3.24537569825029,0,0,0,0,0,0,package://toilet_bowl_model/meshes/base_link.STL,0.988235294117647,0.984313725490196,1,1,0,0,0,0,0,0,package://toilet_bowl_model/meshes/base_link.STL,,toilet_body-1;water_basin-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
toilet_seat,-0.19613,0.177,0.0084034,0,0,0,1.1419,0.016838,1.2216E-10,0.00017976,0.021366,1.4356E-09,0.03813,0,0,0,0,0,0,package://toilet_bowl_model/meshes/toilet_seat.STL,0.98824,0.98431,1,1,0,0,0,0,0,0,package://toilet_bowl_model/meshes/toilet_seat.STL,,toilet_seat-1,Origin_toilet_seat_to_base,Axis1,toilet_seat_to_base,revolute,0.24103,0.19269,0.9391,0,1.4486,0,base_link,0,-1,0,0,0,0,-1.692,,,,,,,,
toilet_cover,-0.177,0.035959,-0.18976,0,0,0,2.5494,0.040607,-2.3416E-09,-1.3977E-07,0.0667,0.0050064,0.027431,0,0,0,0,0,0,package://toilet_bowl_model/meshes/toilet_cover.STL,0.98824,0.98431,1,1,0,0,0,0,0,0,package://toilet_bowl_model/meshes/toilet_cover.STL,ceramic,toilet_cover-1,Origin_toilet_cover_to_base,Axis1,toilet_cover_to_base,revolute,0.24103,0.19269,0.9391,3.1416,0,-1.5708,base_link,1,0,0,0,0,0,-1.692,,,,,,,,
